City Name,"Type of Waste (organic, inorganic, wet, dry, mix)",Quantity (tpd),Process technology - (Composting / Incineration / Landfill / Recycling / Windrow Composting / Anaerobic Digestion / Production of Refused Driven Fuel / Biomethanation / Plasma Pyrolosis),Plant location (address),Plant capacity (TPD),Waste to Energy initiative (Y/N),Power generated by Waste-to-Energy initiative (in MW)
Pune,Wet Waste,200,Composting ,"Bhumigreen, Hadapsar ",200,N,NA
Pune,Wet Waste,0,Biomethanation,Railway Museum  Katraj  ,5,Y,NA
Pune,Wet Waste,0,Biomethanation,Peshwe park -2  ,5,Y,NA
Pune,Wet Waste,5,Biomethanation,Katraj -3  ,5,Y,40
Pune,Wet Waste,5,Biomethanation,Katraj - 4  ,5,Y,45
Pune,Wet Waste,5,Biomethanation,Phule nagar   ,5,Y,45
Pune,Wet Waste,5,Biomethanation,Model colony   ,5,Y,60
Pune,Wet Waste,5,Biomethanation,Dhanori  ,5,Y,40
Pune,Wet Waste,5,Biomethanation,k.k. Market  ,5,Y,60
Pune,Wet Waste,5,Biomethanation,Taljai -1   ,5,Y,80
Pune,Wet Waste,5,Biomethanation,Taljai -2  ,5,Y,80
Pune,Wet Waste,0,Biomethanation,Vadgon -1  ,5,Y,25
Pune,Wet Waste,0,Biomethanation,Vadgon -2  ,5,Y,25
Pune,Wet Waste,5,Biomethanation,Yerewada jail   ,5,N,NA
Pune,Wet Waste,5,Biomethanation,Vadgon sheri  ,5,Y,30
Pune,Wet Waste,0,Biomethanation,Peshwe park -1  ,5,Y,NA
Pune,Wet Waste,5,Biomethanation,Bavdhan  ,5,Y,130
Pune,Wet Waste,5,Biomethanation,Wanavdi  ,5,N,NA
Pune,Wet Waste,5,Biomethanation,katrj - 1  ,5,Y,42
Pune,Wet Waste,5,Biomethanation,katrj - 2  ,5,Y,17
Pune,Wet Waste,5,Biomethanation,"Maharashtra housing  
board  ",5,Y,27
Pune,Wet Waste,3,Biomethanation,Ghole road  ,3,N,
Pune,Wet Waste,5,Biomethanation,Aundh,5,Y,40
Pune,Wet Waste,2,Mechanical composting ,"Mechanical Composting-  
Aundh  ",2,N,NA
Pune,Wet Waste,0,Mechanical composting ,"Mechanical Composting-  
koregaon park   ",3,N,NA
Pune,Wet Waste,8,Mechanical composting ,"Mechanical Composting-  
Vaikunth   ",8,N,NA
Pune,Wet Waste,3,Mechanical composting ,"Mechanical Composting-  
kalyani nagar  ",3,N,NA
Pune,Wet Waste,2,Thermal composting,Ecoman- vadgoan sheri   ,3,N,NA
Pune,Wet Waste,2,Thermal composting,"Ecoman- Redcross near  
Tarachnd Hospital   ",5,N,NA
Pune,Wet Waste,0,Thermal composting,Ecoman - Peshve park  ,5,N,NA
Pune,Wet Waste,0,Thermal composting,Ecoman- Pashan Fire brigade  ,0.125,N,NA
Pune,Wet Waste,0,Thermal composting,Ecoman- Ghole Road  ,0.2,N,NA
Pune,Wet Waste,5,Thermal composting,Ecoman- vadgoan Bk  ,10,N,NA
Pune,Wet Waste,3,Thermal composting,"Ecoman- koregaon park  
Burning ghat  ",5,N,NA
Pune,Wet Waste,3,Thermal composting,Ecoman- Ambilodha colony  ,5,N,NA
Pune,Wet Waste,0,Thermal composting,Ecoman- Wanawadi   ,5,N,NA
Pune,Wet Waste,0,Thermal composting,Ecoman- Vishrantwadi  ,5,N,NA
Pune,Wet Waste,0,Thermal composting,"Ecoman- Swargate -  
karmashala  ",5,N,NA
Pune,Wet Waste,0,Thermal composting,Ecoman- Vishrambaghwada   ,3,N,NA
Pune,Wet Waste,0,Thermal composting,Ecoman- Vertak Garden   ,0.5,N,NA
Pune,Dry waste ,50,Material recovery facility,"A D Eco , Katraj ",50,N,NA
Pune,Dry waste ,50,Material recovery facility,"Aadrash Construction , Ramtekdi   ",50,N,NA
Pune,Dry waste ,25,Material recovery facility,"Green Solutions  , Simhagad road",25,N,NA
Pune,Dry waste ,25,Material recovery facility,"Global Solutions ,  ",25,N,NA
Pune,Mixed waste,150,RDF and compost,"Bhumigreen   , Simhagad road",150,N,NA
Pune,Mixed waste,250,RDF and compost,"Rochem, Ramtekdi",400,N,NA
Pune,Dry waste ,1,Plastic to fuel,"Plastic to fuel , Ghole road ",1,N,NA
Pune,Wet Waste,150,Directly to farmers,Wet waste directly given to farmers,,N,NA
Pune,Mixed waste,850,SLF,"Urali Devachi landfill site, Hadapsar",,N,NA
